epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,293.384,1.21593,0.9166,1.3783,0.96356,0.97274,0.995,0.70921,0.838,0.47926,1.21222,0.0007294,0.0007294,0.0007294
43,300.339,1.18142,0.86128,1.37018,0.94027,0.97081,0.995,0.68056,1.02073,0.48336,1.2997,0.0007228,0.0007228,0.0007228
44,307.171,1.1976,0.89222,1.37632,0.95367,1,0.995,0.63194,1.24166,0.56755,1.43584,0.0007162,0.0007162,0.0007162
45,314.177,1.21035,0.88587,1.37828,0.9641,0.95199,0.98875,0.70224,0.96141,0.49204,1.27596,0.0007096,0.0007096,0.0007096
46,321.113,1.19686,0.88978,1.38211,0.96295,0.91544,0.98875,0.65808,1.1184,0.55994,1.3399,0.000703,0.000703,0.000703
47,328.099,1.22525,0.88671,1.38228,0.94242,0.98576,0.9825,0.7466,0.9105,0.48031,1.25963,0.0006964,0.0006964,0.0006964
48,335.241,1.14114,0.82655,1.33058,0.91799,0.94719,0.98875,0.76407,0.80377,0.42328,1.166,0.0006898,0.0006898,0.0006898
49,342.144,1.16524,0.86394,1.34653,0.89179,0.90855,0.95283,0.69034,0.89701,0.68728,1.26548,0.0006832,0.0006832,0.0006832
50,349.11,1.19962,0.84569,1.36396,0.95312,0.97792,0.995,0.72507,0.82625,0.50622,1.21372,0.0006766,0.0006766,0.0006766
51,355.979,1.16266,0.85154,1.36195,0.95438,0.97013,0.99083,0.76188,0.78753,0.5064,1.17958,0.00067,0.00067,0.00067
52,362.939,1.15986,0.82509,1.35171,0.9466,1,0.995,0.70742,1.01163,0.48966,1.287,0.0006634,0.0006634,0.0006634
53,369.786,1.14002,0.82256,1.32935,0.96631,1,0.995,0.71959,0.96204,0.45226,1.26923,0.0006568,0.0006568,0.0006568
54,376.659,1.16148,0.81659,1.33769,0.95145,1,0.995,0.71965,0.82998,0.4488,1.19086,0.0006502,0.0006502,0.0006502
55,383.538,1.16601,0.82045,1.3642,0.92921,0.969,0.995,0.76465,0.82047,0.48307,1.20283,0.0006436,0.0006436,0.0006436
56,390.522,1.16621,0.82957,1.33784,0.90398,0.94482,0.96135,0.73901,0.9461,0.4975,1.25449,0.000637,0.000637,0.000637
57,397.48,1.13006,0.79052,1.34197,0.95151,0.97645,0.995,0.70368,0.79588,0.41082,1.18641,0.0006304,0.0006304,0.0006304
58,404.4,1.12244,0.82058,1.32815,0.93146,0.97329,0.995,0.75298,0.80211,0.45584,1.17229,0.0006238,0.0006238,0.0006238
59,411.453,1.11362,0.76548,1.312,0.96622,0.95927,0.98161,0.73547,0.8285,0.4537,1.17657,0.0006172,0.0006172,0.0006172
60,418.352,1.15179,0.80368,1.35129,0.95831,1,0.995,0.75923,0.91302,0.42046,1.26661,0.0006106,0.0006106,0.0006106
61,425.438,1.11847,0.78334,1.31215,0.94422,0.96875,0.98875,0.74523,0.91177,0.41907,1.2419,0.000604,0.000604,0.000604
62,432.377,1.12749,0.813,1.31263,0.97343,1,0.995,0.7118,1.00879,0.51125,1.26452,0.0005974,0.0005974,0.0005974
63,439.496,1.11803,0.78303,1.32314,0.96332,0.9781,0.995,0.78887,0.77918,0.4339,1.15646,0.0005908,0.0005908,0.0005908
64,446.559,1.12548,0.75061,1.31442,0.96978,0.96964,0.995,0.75517,0.80039,0.41771,1.18046,0.0005842,0.0005842,0.0005842
65,453.511,1.11198,0.79096,1.31511,0.95216,0.96875,0.98458,0.70688,1.06004,0.46233,1.31943,0.0005776,0.0005776,0.0005776
66,460.44,1.0975,0.75947,1.31253,0.92317,0.91922,0.97833,0.7216,1.0259,0.53073,1.2897,0.000571,0.000571,0.000571
67,467.382,1.10272,0.7619,1.30584,0.96443,1,0.995,0.77218,0.76806,0.3947,1.15398,0.0005644,0.0005644,0.0005644
68,474.323,1.09766,0.75598,1.29644,0.90411,0.98411,0.995,0.78229,0.75717,0.42081,1.13574,0.0005578,0.0005578,0.0005578
69,481.252,1.07817,0.71792,1.30341,0.96029,1,0.995,0.75515,0.80334,0.40215,1.18758,0.0005512,0.0005512,0.0005512
70,488.248,1.07602,0.71781,1.28568,0.97657,1,0.995,0.77264,0.80092,0.40281,1.16266,0.0005446,0.0005446,0.0005446
71,495.124,1.05625,0.74147,1.28947,0.94199,0.99159,0.995,0.76289,0.91979,0.44772,1.25705,0.000538,0.000538,0.000538
72,502.138,1.09019,0.74339,1.28953,0.97304,0.99601,0.995,0.7483,0.80595,0.40416,1.18821,0.0005314,0.0005314,0.0005314
73,509.1,1.08907,0.75064,1.2895,0.9433,1,0.995,0.77467,0.81766,0.40546,1.17017,0.0005248,0.0005248,0.0005248
74,516.115,1.06359,0.73601,1.29032,0.97179,0.98099,0.995,0.73402,0.88726,0.41797,1.23197,0.0005182,0.0005182,0.0005182
75,522.959,1.06913,0.7484,1.28531,0.97205,1,0.995,0.7606,0.7365,0.38429,1.13385,0.0005116,0.0005116,0.0005116
76,530.005,1.07212,0.74307,1.26481,0.97825,0.97876,0.995,0.78817,0.67801,0.38703,1.09013,0.000505,0.000505,0.000505
77,536.96,1.05858,0.73724,1.28277,0.95377,0.97218,0.995,0.7687,0.76763,0.39747,1.16093,0.0004984,0.0004984,0.0004984
78,543.889,1.05707,0.73049,1.26382,0.96863,0.97618,0.995,0.77626,0.74862,0.4064,1.12931,0.0004918,0.0004918,0.0004918
79,550.901,1.0605,0.71351,1.27581,0.95833,1,0.995,0.76789,0.78932,0.38292,1.14234,0.0004852,0.0004852,0.0004852
80,557.718,1.05507,0.71305,1.27326,0.96794,0.9804,0.995,0.75488,0.79714,0.39512,1.15095,0.0004786,0.0004786,0.0004786
81,564.787,1.01345,0.68428,1.25313,0.95263,0.95889,0.995,0.74766,0.81673,0.42999,1.15341,0.000472,0.000472,0.000472
82,571.772,1.0595,0.71005,1.26785,0.96007,0.98819,0.995,0.75834,0.83081,0.3892,1.14169,0.0004654,0.0004654,0.0004654
83,578.732,1.04013,0.71013,1.25459,0.97496,0.9998,0.995,0.72259,0.95911,0.42813,1.2285,0.0004588,0.0004588,0.0004588
84,585.543,1.0343,0.73016,1.27452,0.95802,0.99926,0.995,0.75942,0.83565,0.42458,1.15219,0.0004522,0.0004522,0.0004522
85,592.546,1.03167,0.6808,1.26522,0.96708,0.95516,0.995,0.76791,0.75977,0.41682,1.11087,0.0004456,0.0004456,0.0004456
86,599.418,1.02565,0.70254,1.2588,0.96047,0.99201,0.995,0.79082,0.75176,0.39957,1.13975,0.000439,0.000439,0.000439
87,606.448,1.03952,0.69154,1.25958,0.96785,0.97249,0.995,0.76531,0.68064,0.3903,1.08569,0.0004324,0.0004324,0.0004324
88,613.41,1.04622,0.72197,1.26624,0.9062,0.97639,0.995,0.77902,0.67213,0.39029,1.06887,0.0004258,0.0004258,0.0004258
89,620.462,1.03222,0.68734,1.23699,0.9618,0.96419,0.995,0.78361,0.84226,0.41377,1.18793,0.0004192,0.0004192,0.0004192
90,627.435,1.00384,0.67708,1.2392,0.95763,0.97554,0.995,0.78565,0.74764,0.38996,1.08991,0.0004126,0.0004126,0.0004126
91,634.321,0.99952,0.68643,1.24227,0.96964,0.98064,0.995,0.75246,0.74582,0.38329,1.09778,0.000406,0.000406,0.000406
92,641.335,0.99621,0.67172,1.23616,0.96584,1,0.995,0.77803,0.77076,0.36134,1.14259,0.0003994,0.0003994,0.0003994
93,648.186,0.9793,0.6408,1.2166,0.9665,0.96875,0.98875,0.73579,0.85017,0.40497,1.1725,0.0003928,0.0003928,0.0003928
