epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1194.95,1.14766,0.87302,1.33248,0.90732,0.95334,0.978,0.7603,0.82343,0.52494,1.25752,0.0007294,0.0007294,0.0007294
43,1223.5,1.14074,0.86509,1.33314,0.95218,0.95506,0.98611,0.74245,0.92261,0.57121,1.31533,0.0007228,0.0007228,0.0007228
44,1251.94,1.14093,0.87559,1.33592,0.92377,0.96111,0.98056,0.75032,0.97245,0.54471,1.30639,0.0007162,0.0007162,0.0007162
45,1280.45,1.14518,0.88566,1.33703,0.91454,0.96912,0.98833,0.7326,0.9459,0.52445,1.30648,0.0007096,0.0007096,0.0007096
46,1308.93,1.1263,0.856,1.32745,0.92008,0.9446,0.98278,0.72882,1.14738,0.60615,1.41046,0.000703,0.000703,0.000703
47,1337.44,1.11615,0.80077,1.30201,0.88826,0.94439,0.98833,0.77525,0.9126,0.55253,1.26415,0.0006964,0.0006964,0.0006964
48,1365.99,1.13437,0.85822,1.33222,0.9591,0.97836,0.99167,0.72031,1.02389,0.54921,1.30512,0.0006898,0.0006898,0.0006898
49,1394.47,1.11823,0.84436,1.32407,0.9491,0.95981,0.98611,0.72672,0.9685,0.52228,1.33979,0.0006832,0.0006832,0.0006832
50,1422.97,1.09546,0.81931,1.29323,0.93759,0.99395,0.99278,0.76458,0.89641,0.52002,1.32093,0.0006766,0.0006766,0.0006766
51,1451.41,1.08454,0.8158,1.30477,0.941,0.95143,0.98286,0.76006,0.91529,0.50753,1.29246,0.00067,0.00067,0.00067
52,1479.93,1.11805,0.82694,1.30571,0.95718,0.9535,0.99167,0.76947,0.84164,0.47908,1.25726,0.0006634,0.0006634,0.0006634
53,1508.39,1.11577,0.80917,1.30772,0.9686,0.96799,0.99167,0.77137,0.8022,0.50493,1.27894,0.0006568,0.0006568,0.0006568
54,1536.89,1.09818,0.81462,1.2908,0.94161,0.98096,0.99167,0.75731,0.86107,0.50283,1.27305,0.0006502,0.0006502,0.0006502
55,1565.36,1.09068,0.79974,1.29455,0.92556,0.96226,0.98389,0.76736,0.79,0.51241,1.24962,0.0006436,0.0006436,0.0006436
